职位名,公司名,工作地点,薪资,发布时间
python数据分析讲师,深圳市泽林软件技术有限公司,深圳-南山区,2.5-3万/月,5月19日
Python研发工程师,新译信息科技（深圳）有限公司,深圳-南山区,0.8-1.5万/月,5月19日
Python开发工程师（初级）,深圳市文言科技发展有限公司,深圳,5.5-7千/月,5月19日
大数据Python工程师,深圳光启空间技术有限公司,深圳-南山区,1.5-3万/月,5月19日
Python高级开发工程师,上海新炬网络技术有限公司,深圳,1.5-2万/月,5月19日
Python爬虫工程师,深圳市财税无忧科技有限公司,深圳,1-1.5万/月,5月19日
python开发工程师,深圳市正易龙科技有限公司,深圳-南山区,1-2万/月,5月19日
Python开发工程师,深圳市掌世界网络科技有限公司,深圳-罗湖区,0.5-1.2万/月,5月19日
Python程序员,美皇贸易（深圳）有限公司,深圳-福田区,0.8-1.2万/月,5月19日
Python开发工程师（国信证券-乙方）,信必优(深圳)信息技术有限公司,深圳-罗湖区,1.5-1.9万/月,5月19日
Python高级工程师,梦工场珠宝企业管理有限公司,异地招聘,0.8-1万/月,5月19日
Python开发工程师,深圳市天翼互联科技有限公司,深圳-南山区,0.6-1.2万/月,5月19日
Python工程师  爬虫  五险一金 包住 双休,深圳市中源航空服务有限公司,深圳,1-1.5万/月,5月19日
Python开发工程师—新材料促进中心,飞扬集团,深圳,1-2万/月,5月19日
Python 后台工程师,深圳曼瑞德科技有限公司,深圳-龙华新区,1-1.5万/月,5月19日
Python开发工程师,广东国晖律师事务所,深圳,3.5-7千/月,5月19日
深圳市华馨智能科技—Python高级工程师,深圳市人力资源服务有限公司,深圳-龙华新区,1.7-2万/月,5月19日
Python开发工程师,善理通益信息科技（深圳）有限公司,深圳-南山区,0.7-1万/月,5月19日
系统开发工程师（python）,申朴信息技术（上海）股份有限公司,深圳,1.5-2万/月,5月19日
Python开发工程师,深圳市暴击互动娱乐有限公司,深圳-南山区,1.5-2万/月,5月19日
Python开发工程师,深圳市街角电子商务有限公司,深圳-南山区,1.5-2.5万/月,5月19日
Python开发工程师,深圳众禄基金销售股份有限公司,深圳,1.8-2.5万/月,5月19日
python大数据开发工程师,深圳触云科技有限公司,深圳,1-3万/月,5月19日
Python开发工程师,广州嘉为科技有限公司,深圳,0.6-1万/月,5月19日
Python开发师,深圳市新律技术服务有限公司,深圳-龙华新区,3-4.5千/月,5月19日
Python,深圳融天云科软件技术有限公司,深圳-南山区,1-1.5万/月,5月19日
Python游戏服务端开发工程师,深圳市三创达实业有限公司,深圳-宝安区,1-2万/月,5月19日
Python后台开发工程师,深圳市度点科技有限公司,深圳-宝安区,1-3万/月,5月19日
Python数据采集网络爬虫工程师,深圳市凯利讯科技有限公司,深圳-福田区,6-8千/月,5月19日
Python开发工程师,深圳市源极光科技有限公司,深圳-南山区,1-1.5万/月,5月19日
Python开发工程师,深圳市前海谷雨网络科技有限公司,深圳-南山区,1.5-2万/月,5月19日
Python开发工程师,深圳市芒柠科技有限公司,深圳-南山区,0.8-1.5万/月,5月19日
Python软件开发工程师,深圳市有限元科技有限公司,深圳,0.8-1.6万/月,5月19日
Python后端开发工程师,深圳先知大数据有限公司,异地招聘,0.8-1.5万/月,5月19日
大数据/python技术支持老师,深圳市达内软件有限公司,深圳,0.8-1万/月,5月19日
储备干部（Python人工智能方向）,深圳市恒利隆实业有限公司,深圳,4-6千/月,5月19日
Python实习生 不限基础,深圳市沃控科技有限公司,深圳-南山区,3-4.5千/月,5月19日
Python开发工程师（包住+五险一金）,深圳市南方网通网络技术开发有限公司,深圳-南山区,1-2万/月,5月19日
Python+MySQL 后台开发工程师,富士康科技集团CNSBG事业群,深圳-龙华新区,0.6-2万/月,5月19日
Python开发工程师（深圳）,平安科技（深圳）有限公司,深圳-福田区,1.5-3万/月,5月19日
Python开发工程师,深圳硕软技术有限公司,深圳,1-2万/月,5月19日
Python大数据工程师,深圳市爱宝惟生物科技有限公司,深圳-宝安区,0.7-1万/月,5月19日
Python开发工程师,成都迈思信息技术有限公司,深圳,1-1.5万/月,5月19日
Python后台高级开发经理,深圳市埃提思科技开发有限公司,深圳-南山区,2.4-3.3万/月,5月19日
Python技术工程师,深圳市前海图灵互联网金融服务有限公司,深圳-福田区,1-1.5万/月,5月19日
Python开发工程师,深圳市中易腾达科技股份有限公司,深圳,0.6-1.2万/月,5月19日
Python(RPA)实施开发工程师（软件）,上海艺赛旗软件股份有限公司,深圳,0.6-1万/月,5月19日
