职位名,公司名,工作地点,薪资,发布时间
Java高级软件工程师,深圳启奥朗程科技有限公司,深圳-龙华新区,0.4-2万/月,05-19
Java研发经理,深圳市宝晟互联信息技术有限公司,深圳-龙华新区,1-1.5万/月,05-19
Java工程师/高级Java工程师,深圳智慧园区信息技术有限公司,深圳-龙岗区,1-1.5万/月,05-19
C/C++软件开发工程师,深圳市斯普瑞特通信技术有限公司,深圳,0.8-1万/月,05-19
JAVA软件工程师,深圳明动信息技术有限公司,深圳,0.6-1万/月,05-19
Java高级开发工程师,湖南现代德雷工程有限公司深圳分公司,深圳-福田区,1.2-1.5万/月,05-19
Java讲师,深圳市泽林软件技术有限公司,深圳-南山区,2-2.5万/月,05-19
Java初级开发工程师,深圳爱加密科技有限公司,深圳,0.8-1万/月,05-19
高级Java工程师（多度智能）,深圳市多度科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
Java开发工程师,桥联投资（深圳）有限公司,深圳-南山区,0.8-1.6万/月,05-19
Java高级开发工程师,深圳微梅克斯科技有限公司,深圳-龙岗区,1-2万/月,05-19
java实习生 双休 年底双薪,深圳唐商科技有限公司,深圳-龙华新区,0.8-1万/月,05-19
应用开发工程师（java）,深圳市华讯通信技术有限公司,深圳-南山区,1-1.5万/月,05-19
Java高级开发工程师,深圳市辰赛智能科技有限公司,深圳-龙华新区,6-8千/月,05-19
Java开发工程师-IM方向,深圳一声笑科技有限公司,深圳-龙华新区,1.2-2.4万/月,05-19
JAVA开发工程师,深圳市东方智通科技有限公司,深圳-南山区,6-8千/月,05-19
Java开发工程师,深圳市易世通达贸易有限公司,深圳-南山区,1-1.5万/月,05-19
Java中级软件工程师,深圳淘邦网络科技有限公司,深圳,0.6-1万/月,05-19
Java开发工程师(聚合支付),深圳银盛金融集团有限公司,深圳-龙华新区,1-2万/月,05-19
Java 中级开发工程师,深圳九河互联信息技术有限公司,深圳-龙华新区,1.2-1.5万/月,05-19
Java开发工程师,深圳市佰事达通国际货运代理有限公司,深圳-龙岗区,1-1.5万/月,05-19
Java软件工程师,深圳市德科信息技术有限公司,深圳-福田区,0.8-1.5万/月,05-19
Java开发工程师,UT斯达康（中国）股份有限公司,深圳-南山区,0.8-1.5万/月,05-19
java开发工程师（高级）,深圳金夸克数字科技有限公司,深圳-罗湖区,1.5-3万/月,05-19
Java初级开发工程师,上海易立德信息技术股份有限公司,深圳-龙岗区,0.5-1万/月,05-19
java工程师,深圳市蓝海投资电子商务有限公司,深圳-福田区,1-1.5万/月,05-19
Java开发工程师,深圳市掌中文娱科技有限公司,深圳-南山区,6-9千/月,05-19
Java工程师,深圳盒子信息科技有限公司,深圳-南山区,1-1.5万/月,05-19
高级Java工程师,深圳市文鸿乐教网络科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
JAVA项目经理,深圳市天泰国际航空旅行社有限公司,深圳,2-3万/月,05-19
JAVA开发工程师,深圳汇思诺科技有限公司,深圳-南山区,1-1.5万/月,05-19
JAVA 工程师,深圳市兴业卓辉实业有限公司,深圳-南山区,10-20万/年,05-19
中级java软件工程师,广州商脉网络科技有限公司（深圳分公司）,深圳-南山区,1.3-1.7万/月,05-19
高级后端开发工程师Java工程师,深圳市麦百嘉科技有限责任公司,深圳-龙华新区,1-1.5万/月,05-19
Java开发工程师,深圳市宏剑科技有限公司,深圳-南山区,1.5-3万/月,05-19
Java开发工程师,新疆汤立科技有限公司,异地招聘,1.5-2万/月,05-19
Java开发工程师,深圳市寰旗智能科技有限公司,深圳-宝安区,1-1.5万/月,05-19
Java后台开发工程师/后台开发工程师,深圳市悦途科技有限公司,深圳-宝安区,1-1.5万/月,05-19
Java开发主管,深圳前海纳鑫控股集团有限公司,深圳-福田区,1.6-2万/月,05-19
Java开发工程师,广州至拓网络科技有限公司,深圳,1.5-2.5万/月,05-19
Java中级开发工程师,上海华腾软件系统有限公司,深圳-南山区,1-1.5万/月,05-19
Java开发工程师,深圳市耶法网络科技有限公司,深圳-南山区,1-2万/月,05-19
JAVA开发中高级工程师,深圳特为科创信息技术有限公司,深圳-龙岗区,1-1.5万/月,05-19
Java高级开发工程师（南宁）,广西通玄科技有限公司,异地招聘,1-1.5万/月,05-19
Java后端开发工程师,富强天一咨询（深圳）有限公司,深圳-罗湖区,1-1.5万/月,05-19
高级java工程师,深圳云娃科技有限公司,深圳,1.5-2.5万/月,05-19
Java开发工程师,成都愚创科技有限公司,深圳-南山区,0.8-1.5万/月,05-19
Java后台开发工程师,优维科技（深圳）有限公司,深圳-南山区,1.5-2.5万/月,05-19
java开发工程师,深圳市中乐游计算机系统有限公司,深圳-福田区,0.5-1万/月,05-19
Java开发经理,深圳市澳颂泰科技有限公司,深圳,1.5-3万/月,05-19
Java Web全栈开发工程师,深圳睿心智能医疗科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
Java开发工程师,前海中旗物联科技（深圳）有限公司,深圳-南山区,1-1.5万/月,05-19
Java高级开发工程师,深圳柚安米科技有限公司,深圳-福田区,30-40万/年,05-19
高级java开发工程师/SE/架构师/PM,软通动力信息技术（集团）有限公司,深圳,2.5-3万/月,05-19
